@relation 'pacmandirection-weka.filters.unsupervised.attribute.Remove-R4-11,24,29-weka.filters.unsupervised.attribute.Remove-R12-19'

@attribute posPacmanX numeric
@attribute posPacmanY numeric
@attribute score numeric
@attribute posGhost1X numeric
@attribute posGhost1Y numeric
@attribute posGhost2X numeric
@attribute posGhost2Y numeric
@attribute posGhost3X numeric
@attribute posGhost3Y numeric
@attribute posGhost4X numeric
@attribute posGhost4Y numeric
@attribute directionPacman {North,South,West,East,Stop,None}

@data
15,7,370,1,1,5,12,5,1,13,12,North
15,8,369,1,1,5,12,5,1,13,12,North
15,9,368,1,1,5,12,5,1,13,12,North
15,10,367,1,1,5,12,5,1,13,12,North
15,11,366,1,1,5,12,5,1,13,12,North
15,12,365,1,1,5,12,5,1,13,12,North
15,13,364,1,1,5,12,5,1,13,12,North
15,14,363,1,1,5,12,5,1,13,12,North
14,14,362,1,1,5,12,5,1,13,12,West
13,14,361,1,1,5,12,5,1,13,12,West
12,14,360,1,1,5,12,5,1,13,12,West
11,14,359,1,1,5,12,5,1,13,12,West
10,14,358,1,1,5,12,5,1,13,12,West
10,13,357,1,1,5,12,5,1,13,12,South
10,12,356,1,1,5,12,5,1,13,12,South
11,12,355,1,1,5,12,5,1,13,12,East
12,12,354,1,1,5,12,5,1,13,12,East
13,12,553,1,1,5,12,5,1,7,1,East
12,12,552,1,1,5,12,5,1,7,1,West
11,12,551,1,1,5,12,5,1,7,1,West
10,12,550,1,1,5,12,5,1,7,1,West
9,12,549,1,1,5,12,5,1,7,1,West
8,12,548,1,1,5,12,5,1,7,1,West
7,12,547,1,1,5,12,5,1,7,1,West
14,3,0,10,15,13,15,14,15,17,15,Stop
13,3,-1,10,15,13,15,14,15,17,15,West
12,3,-2,10,15,13,15,14,15,17,15,West
12,4,-3,10,15,13,15,14,15,17,15,North
12,5,-4,10,15,13,15,14,15,17,15,North
11,5,-5,10,15,13,15,14,15,17,15,West
10,5,-6,10,15,13,15,14,15,17,15,West
9,5,-7,10,15,13,15,14,15,17,15,West
9,6,-8,10,15,13,15,14,15,17,15,North
9,7,-9,10,15,13,15,14,15,17,15,North
9,8,-10,10,15,13,15,14,15,17,15,North
8,8,-11,10,15,13,15,14,15,17,15,West
7,8,-12,10,15,13,15,14,15,17,15,West
6,8,-13,10,15,13,15,14,15,17,15,West
6,9,-14,10,15,13,15,14,15,17,15,North
6,10,-15,10,15,13,15,14,15,17,15,North
6,11,-16,10,15,13,15,14,15,17,15,North
7,11,-17,10,15,13,15,14,15,17,15,East
8,11,-18,10,15,13,15,14,15,17,15,East
8,12,-19,10,15,13,15,14,15,17,15,North
8,13,-20,10,15,13,15,14,15,17,15,North
8,14,-21,10,15,13,15,14,15,17,15,North
8,15,-22,10,15,13,15,14,15,17,15,North
