@relation pacmandirection-weka.filters.unsupervised.attribute.Remove-R4-11-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Remove-R16-19-weka.filters.unsupervised.attribute.Remove-R12-15

@attribute posPacmanX numeric
@attribute posPacmanY numeric
@attribute score numeric
@attribute posGhost1X numeric
@attribute posGhost1Y numeric
@attribute posGhost2X numeric
@attribute posGhost2Y numeric
@attribute posGhost3X numeric
@attribute posGhost3Y numeric
@attribute posGhost4X numeric
@attribute posGhost4Y numeric
@attribute directionPacman {North,South,West,East,Stop,None}

@data
5,9,132,4,10,9,13,5,1,11,14,North
5,10,131,3,10,10,13,5,1,10,14,North
6,10,130,3,9,10,12,5,1,10,14,East
5,10,129,4,9,11,12,5,1,10,13,West
4,10,128,3,9,12,12,5,1,10,12,West
4,9,127,3,8,12,12,5,1,10,13,South
4,8,126,3,8,11,12,5,1,9,13,South
3,8,325,1,1,11,12,5,1,9,12,West
2,8,324,1,1,10,12,5,1,8,12,West
2,9,323,1,1,10,12,5,1,8,12,North
2,10,322,1,1,9,12,5,1,8,13,North
2,11,321,1,1,9,13,5,1,8,13,North
2,12,320,1,1,9,12,5,1,9,13,North
2,13,319,1,1,10,12,5,1,8,13,North
3,13,318,1,1,9,12,5,1,8,13,East
3,13,317,1,1,9,12,5,1,9,13,East
3,14,316,1,1,8,12,5,1,10,13,North
4,14,315,1,1,8,12,5,1,10,12,East
5,14,314,1,1,9,12,5,1,10,13,East
6,14,313,1,1,10,12,5,1,10,14,East
7,14,312,1,1,11,12,5,1,10,13,East
8,14,311,1,1,12,12,5,1,10,14,East
9,14,310,1,1,11,12,5,1,10,13,East
10,14,309,1,1,12,12,5,1,9,13,East
10,13,308,1,1,13,12,5,1,9,14,South
9,13,307,1,1,13,12,5,1,8,14,West
8,13,506,1,1,13,12,5,1,7,1,West
8,14,505,1,1,12,12,5,1,7,1,North
8,14,504,1,1,11,12,5,1,7,1,North
9,14,503,1,1,11,12,5,1,7,1,East
9,13,502,1,1,11,12,5,1,7,1,South
14,3,0,10,15,13,15,14,15,17,15,Stop
14,3,-1,11,15,13,16,14,16,17,15,Stop
14,3,-2,12,15,13,16,14,15,17,15,Stop
15,3,-3,12,15,14,16,14,16,17,15,East
16,3,-4,11,15,13,16,13,16,17,15,East
17,3,-5,12,15,14,16,13,15,16,15,East
18,3,-6,11,15,14,15,13,15,16,15,East
19,3,-7,11,15,13,15,12,15,15,15,East
20,3,-8,11,15,12,15,11,15,14,15,East
21,3,-9,12,15,13,15,10,15,13,15,East
22,3,-10,11,15,14,15,11,15,13,16,East
23,3,-11,11,15,14,15,11,15,13,16,East
24,3,-12,10,15,14,16,10,15,14,16,East
25,3,-13,10,15,13,16,10,15,14,15,East
26,3,-14,11,15,13,17,11,15,14,15,East
26,4,-15,12,15,14,17,12,15,13,15,North
26,5,-16,11,15,14,17,11,15,14,15,North
25,5,-17,12,15,15,17,12,15,14,15,West
24,5,-18,13,15,15,18,13,15,14,16,West
23,5,-19,14,15,15,18,13,16,14,17,West
22,5,-20,13,15,15,17,13,16,14,17,West
21,5,-21,13,16,16,17,13,17,13,17,West
21,6,-22,13,15,15,17,13,16,14,17,North
21,7,-23,12,15,15,18,13,17,15,17,North
21,8,-24,11,15,15,17,12,17,15,18,North
21,9,-25,11,15,16,17,11,17,15,17,North
21,10,-26,11,15,16,17,10,17,15,17,North
21,11,-27,10,15,16,17,11,17,15,17,North
21,12,-28,10,15,16,17,10,17,15,17,North
21,13,-29,10,15,15,17,11,17,14,17,North
21,14,-30,11,15,15,17,10,17,14,16,North
21,15,-31,11,15,15,18,11,17,13,16,North
20,15,-32,12,15,15,19,12,17,13,15,West
19,15,-33,11,15,15,18,12,17,13,15,West
19,16,-34,12,15,15,19,12,17,13,16,North
19,17,-35,13,15,15,20,12,18,14,16,North
18,17,-36,12,15,16,20,12,17,14,16,West
17,17,-37,11,15,17,20,13,17,14,15,West
16,17,-38,10,15,18,20,14,17,14,16,West
15,17,-39,11,15,17,20,13,17,13,16,West
15,18,-40,11,15,18,20,13,16,14,16,North
15,17,-41,10,15,18,20,14,16,14,15,South
15,18,-42,11,15,17,20,14,17,14,16,North
15,19,-43,12,15,16,20,15,17,14,17,North
15,20,-44,12,15,17,20,14,17,14,17,North
15,20,-45,12,15,17,20,14,17,14,16,North
16,20,-46,13,15,18,20,13,17,13,16,East
17,20,153,13,16,3,1,13,17,13,15,East
18,20,152,14,16,3,1,14,17,14,15,East
18,21,151,14,15,3,1,14,17,14,15,North
18,22,150,15,15,3,1,13,17,15,15,North
18,23,149,14,15,3,1,12,17,15,15,North
18,22,148,15,15,3,1,12,17,14,15,South
18,21,147,14,15,3,1,12,17,14,15,South
18,20,146,13,15,3,1,13,17,15,15,South
17,20,145,13,16,3,1,14,17,15,15,West
16,20,144,13,15,3,1,13,17,14,15,West
15,20,143,12,15,3,1,13,16,14,15,West
15,19,142,12,15,3,1,13,16,14,15,South
15,18,141,11,15,3,1,13,17,15,15,South
15,17,140,10,15,3,1,13,17,15,15,South
14,17,139,11,15,3,1,13,17,16,15,West
14,16,138,11,15,3,1,13,17,16,15,South
14,15,337,10,15,3,1,13,17,15,15,South
15,15,336,10,15,3,1,13,17,7,1,East
16,15,335,11,15,3,1,13,17,7,1,East
15,15,334,11,15,3,1,14,17,7,1,West
14,15,333,12,15,3,1,13,17,7,1,West
14,16,332,12,15,3,1,14,17,7,1,North
14,17,531,12,15,3,1,5,1,7,1,North
13,17,530,12,15,3,1,5,1,7,1,West
12,17,529,11,15,3,1,5,1,7,1,West
13,17,528,10,15,3,1,5,1,7,1,East
13,16,527,10,15,3,1,5,1,7,1,South
13,15,526,10,15,3,1,5,1,7,1,South
13,15,525,10,15,3,1,5,1,7,1,South
12,10,0,5,6,5,12,13,6,13,12,Stop
12,10,-1,5,6,5,12,13,6,13,12,Stop
12,10,-2,5,6,5,12,13,6,13,12,Stop
13,10,-3,5,6,5,12,13,6,13,12,East
14,10,-4,5,6,5,12,13,6,13,12,East
14,9,-5,5,6,5,12,13,6,13,12,South
14,8,-6,5,6,5,12,13,6,13,12,South
14,7,-7,5,6,5,12,13,6,13,12,South
14,6,-8,5,6,5,12,13,6,13,12,South
13,6,191,5,6,5,12,5,1,13,12,West
12,6,190,5,6,5,12,5,1,13,12,West
12,5,189,5,6,5,12,5,1,13,12,South
12,4,188,5,6,5,12,5,1,13,12,South
12,3,187,5,6,5,12,5,1,13,12,South
11,3,186,5,6,5,12,5,1,13,12,West
10,3,185,5,6,5,12,5,1,13,12,West
9,3,184,5,6,5,12,5,1,13,12,West
8,3,183,5,6,5,12,5,1,13,12,West
8,4,182,5,6,5,12,5,1,13,12,North
8,5,181,5,6,5,12,5,1,13,12,North
8,6,180,5,6,5,12,5,1,13,12,North
7,6,179,5,6,5,12,5,1,13,12,West
6,6,178,5,6,5,12,5,1,13,12,West
5,6,377,1,1,5,12,5,1,13,12,West
4,6,376,1,1,5,12,5,1,13,12,West
4,7,375,1,1,5,12,5,1,13,12,North
4,8,374,1,1,5,12,5,1,13,12,North
4,9,373,1,1,5,12,5,1,13,12,North
4,10,372,1,1,5,12,5,1,13,12,North
3,10,371,1,1,5,12,5,1,13,12,West
3,11,370,1,1,5,12,5,1,13,12,North
3,12,369,1,1,5,12,5,1,13,12,North
3,13,368,1,1,5,12,5,1,13,12,North
3,14,367,1,1,5,12,5,1,13,12,North
4,14,366,1,1,5,12,5,1,13,12,East
5,14,365,1,1,5,12,5,1,13,12,East
6,14,364,1,1,5,12,5,1,13,12,East
7,14,363,1,1,5,12,5,1,13,12,East
8,14,362,1,1,5,12,5,1,13,12,East
8,13,361,1,1,5,12,5,1,13,12,South
8,12,360,1,1,5,12,5,1,13,12,South
7,12,359,1,1,5,12,5,1,13,12,West
6,12,358,1,1,5,12,5,1,13,12,West
5,12,557,1,1,3,1,5,1,13,12,West
6,12,556,1,1,3,1,5,1,13,12,East
7,12,555,1,1,3,1,5,1,13,12,East
8,12,554,1,1,3,1,5,1,13,12,East
9,12,553,1,1,3,1,5,1,13,12,East
10,12,552,1,1,3,1,5,1,13,12,East
11,12,551,1,1,3,1,5,1,13,12,East
1,18,0,5,9,11,3,17,6,25,13,Stop
1,18,-1,4,9,10,3,17,5,25,13,Stop
1,18,-2,5,9,10,3,18,5,25,14,Stop
1,18,-3,5,8,9,3,19,5,25,14,Stop
2,18,-4,4,8,9,4,20,5,25,14,East
3,18,-5,5,8,9,3,20,5,25,15,East
4,18,-6,5,9,9,3,20,4,24,15,East
5,18,-7,5,10,9,4,20,5,25,15,East
6,18,-8,6,10,9,3,20,4,25,14,East
7,18,-9,6,9,8,3,20,4,25,15,East
8,18,-10,6,10,7,3,20,4,24,15,East
9,18,-11,5,10,6,3,20,5,24,15,East
10,18,-12,6,10,6,3,20,6,24,16,East
11,18,-13,5,10,7,3,19,6,24,15,East
12,18,-14,5,9,7,3,19,6,23,15,East
13,18,-15,6,9,6,3,19,5,24,15,East
14,18,-16,5,9,5,3,19,5,24,14,East
15,18,-17,5,8,6,3,18,5,24,14,East
16,18,-18,6,8,6,3,19,5,24,14,East
17,18,-19,6,9,7,3,19,4,24,14,East
18,18,-20,6,9,7,3,19,4,23,14,East
19,18,-21,5,9,7,3,20,4,22,14,East
20,18,-22,5,10,6,3,19,4,22,13,East
21,18,-23,6,10,7,3,19,5,22,13,East
21,17,-24,6,10,6,3,20,5,22,14,South
21,16,-25,6,9,5,3,20,5,23,14,South
22,16,-26,6,10,5,3,20,4,23,14,East
23,16,-27,6,10,4,3,20,5,23,15,East
23,15,-28,5,10,4,3,20,6,22,15,South
23,14,-29,4,10,5,3,20,5,21,15,South
22,14,-30,3,10,4,3,20,6,22,15,West
22,14,-31,3,9,4,3,19,6,23,15,West
22,15,-32,3,10,3,3,19,5,24,15,North
23,15,-33,3,10,3,4,19,5,24,15,East
24,15,166,4,10,3,4,19,4,25,15,East
25,15,165,3,10,3,5,20,4,7,1,East
24,15,164,4,10,4,5,20,4,7,1,West
23,15,163,3,10,5,5,20,4,7,1,West
22,15,162,3,10,4,5,20,3,7,1,West
21,15,161,3,10,4,5,20,4,7,1,West
20,15,160,3,10,3,5,19,4,7,1,West
20,14,159,3,9,2,5,20,4,7,1,South
20,13,158,3,10,2,4,20,4,7,1,South
20,12,157,3,9,2,5,20,4,7,1,South
20,11,156,3,10,2,5,20,4,7,1,South
20,10,155,4,10,1,5,20,5,7,1,South
21,10,154,4,9,1,4,20,6,7,1,East
22,10,153,4,9,2,4,20,6,7,1,East
23,10,152,4,10,2,4,19,6,7,1,East
23,9,151,4,9,2,5,20,6,7,1,South
23,8,150,3,9,2,4,21,6,7,1,South
23,7,149,3,9,2,5,22,6,7,1,South
23,6,348,3,8,3,5,5,1,7,1,South
22,6,347,4,8,2,5,5,1,7,1,West
21,6,346,4,7,3,5,5,1,7,1,West
20,6,345,4,8,4,5,5,1,7,1,West
19,6,344,4,7,5,5,5,1,7,1,West
18,6,343,3,7,5,4,5,1,7,1,West
17,6,342,3,7,4,4,5,1,7,1,West
16,6,341,3,7,5,4,5,1,7,1,West
15,6,340,3,7,5,3,5,1,7,1,West
