@relation 'pacmandirection-weka.filters.unsupervised.attribute.Remove-R4-7,29'

@attribute posPacmanX numeric
@attribute posPacmanY numeric
@attribute score numeric
@attribute distanceGhosts1 numeric
@attribute distanceGhosts2 numeric
@attribute distanceGhosts3 numeric
@attribute distanceGhosts4 numeric
@attribute posGhost1X numeric
@attribute posGhost1Y numeric
@attribute posGhost2X numeric
@attribute posGhost2Y numeric
@attribute posGhost3X numeric
@attribute posGhost3Y numeric
@attribute posGhost4X numeric
@attribute posGhost4Y numeric
@attribute legalNorth {True,False}
@attribute legalSouth {True,False}
@attribute legalEast {True,False}
@attribute legalWest {True,False}
@attribute legalStop {True,False}
@attribute livingGhost1 {True,False}
@attribute livingGhost2 {True,False}
@attribute livingGhost3 {True,False}
@attribute livingGhost4 {True,False}
@attribute directionPacman {North,South,West,East,Stop,None}

@data
5,1,6249,8,-1,-1,-1,1,5,3,1,5,1,7,1,False,False,True,True,True,True,False,False,False,West
4,1,6248,7,-1,-1,-1,1,5,3,1,5,1,7,1,True,False,True,True,True,True,False,False,False,West
3,1,6647,6,-1,-1,-1,1,5,3,1,5,1,7,1,False,False,True,True,True,True,False,False,False,West
2,1,6746,5,-1,-1,-1,1,5,3,1,5,1,7,1,False,False,True,True,True,True,False,False,False,West
1,1,6845,4,-1,-1,-1,1,5,3,1,5,1,7,1,True,False,True,False,True,True,False,False,False,West
1,2,6944,3,-1,-1,-1,1,5,3,1,5,1,7,1,True,True,False,False,True,True,False,False,False,North
1,3,7043,2,-1,-1,-1,1,5,3,1,5,1,7,1,True,True,False,False,True,True,False,False,False,North
1,11,0,11,7,7,18,6,5,6,9,8,11,14,6,False,True,True,False,True,True,True,True,True,Stop
1,11,-1,11,7,7,18,6,5,6,9,8,11,14,6,False,True,True,False,True,True,True,True,True,Stop
1,11,-2,11,7,7,18,6,5,6,9,8,11,14,6,False,True,True,False,True,True,True,True,True,Stop
2,11,-3,10,6,6,17,6,5,6,9,8,11,14,6,False,False,True,True,True,True,True,True,True,East
3,11,-4,9,5,5,16,6,5,6,9,8,11,14,6,False,False,True,True,True,True,True,True,True,East
4,11,-5,8,4,4,15,6,5,6,9,8,11,14,6,False,False,True,True,True,True,True,True,True,East
5,11,-6,7,3,3,14,6,5,6,9,8,11,14,6,False,True,True,True,True,True,True,True,True,East
